tone_type,tone_bank,tone_num,tone_name,category
SN-A,PRST,0001,Full Grand 1,Ac.Piano
SN-A,PRST,0002,Full Grand 2,Ac.Piano
SN-A,PRST,0003,Full Grand 3,Ac.Piano
SN-A,PRST,0004,Deep Grand,Ac.Piano
SN-A,PRST,0005,BrightGrand,Ac.Piano
SN-A,PRST,0006,UprightPiano,Ac.Piano
SN-A,PRST,0007,Mono Grand,Ac.Piano
SN-A,PRST,0008,Rock Grand,Ac.Piano
SN-A,PRST,0009,HonkyTonk Pf,Ac.Piano
SN-A,PRST,0010,‘76 Pure,Ac.Piano
SN-A,PRST,0011,‘73 Pure,Ac.Piano
SN-A,PRST,0012,‘76 Stage,Ac.Piano
SN-A,PRST,0013,‘73 Stage,Ac.Piano
SN-A,PRST,0014,‘76 Tine,Ac.Piano
SN-A,PRST,0015,‘73 Tine,Ac.Piano
SN-A,PRST,0016,‘81 Tine,Ac.Piano
SN-A,PRST,0017,Felt Tine,Ac.Piano
SN-A,PRST,0018,Dyno Tine,Ac.Piano
SN-A,PRST,0019,Tea Time,Ac.Piano
SN-A,PRST,0020,Small Space,Ac.Piano
SN-A,PRST,0021,Phaser Dyno,Ac.Piano
SN-A,PRST,0022,90 Shift EP,Ac.Piano
SN-A,PRST,0023,SlowSpin EP,Ac.Piano
SN-A,PRST,0024,Phaser Tine,Ac.Piano
SN-A,PRST,0025,TcDlyEP CC18,Ac.Piano
SN-A,PRST,0026,Flanger Tine,Ac.Piano
SN-A,PRST,0027,Chorus Tine,Ac.Piano
SN-A,PRST,0028,JC ChorusEP,Ac.Piano
SN-A,PRST,0029,Dirty Tine,Ac.Piano
SN-A,PRST,0030,Pure Reed,Ac.Piano
SN-A,PRST,0031,‘68 Reed,Ac.Piano
SN-A,PRST,0032,Vibrato Reed,Ac.Piano
SN-A,PRST,0033,Dirty Reed,Ac.Piano
SN-A,PRST,0034,Super Clav,Other Keyboards
SN-A,PRST,0035,Pure ClavCA1,Other Keyboards
SN-A,PRST,0036,Pure ClavCA2,Other Keyboards
SN-A,PRST,0037,Pure ClavCB1,Other Keyboards
SN-A,PRST,0038,Pure ClavCB2,Other Keyboards
SN-A,PRST,0039,Deep Clav,Other Keyboards
SN-A,PRST,0040,Drive Clav,Other Keyboards
SN-A,PRST,0041,Dist Clav,Other Keyboards
SN-A,PRST,0042,Phaser Clav1,Other Keyboards
SN-A,PRST,0043,Phaser Clav2,Other Keyboards
SN-A,PRST,0044,Spacy Clav,Other Keyboards
SN-A,PRST,0045,SoftSpinClav,Other Keyboards
SN-A,PRST,0046,Twah Clav,Other Keyboards
SN-A,PRST,0047,Awah Clav,Other Keyboards
SN-A,PRST,0048,PwahClv1CC18,Other Keyboards
SN-A,PRST,0049,PwahClv2CC18,Other Keyboards
SN-A,PRST,0050,B3 Jazz 1,Organ
SN-A,PRST,0051,B3 Jazz 2,Organ
SN-A,PRST,0052,B3 Jazz 3,Organ
SN-A,PRST,0053,B3 Jazz 4,Organ
SN-A,PRST,0054,B3 Jazz 5,Organ
SN-A,PRST,0055,B3 Jazz 6,Organ
SN-A,PRST,0056,B3 Jazz 7,Organ
SN-A,PRST,0057,B3 Full D,Organ
SN-A,PRST,0058,B3 Bossa,Organ
SN-A,PRST,0059,C3 Rock 1,Organ
SN-A,PRST,0060,C3 Rock 2,Organ
SN-A,PRST,0061,C3 Rock 3,Organ
SN-A,PRST,0062,C3 Rock 4,Organ
SN-A,PRST,0063,C3 Rock 5,Organ
SN-A,PRST,0064,C3 Rock 6,Organ
SN-A,PRST,0065,Pure Wheel 1,Organ
SN-A,PRST,0066,Pure Wheel 2,Organ
SN-A,PRST,0067,Pure Wheel 3,Organ
SN-A,PRST,0068,Nostalgie 1,Organ
SN-A,PRST,0069,Nostalgie 2,Organ
SN-A,PRST,0070,Nostalgie 3,Organ
SN-A,PRST,0071,Nostalgie 4,Organ
SN-A,PRST,0072,Clean Cutter,E.Guitar
SN-A,PRST,0073,Flanger Cut,E.Guitar
SN-A,PRST,0074,Funk Cutting,E.Guitar
SN-A,PRST,0075,PhaseCutting,E.Guitar
